Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp_Filialsuche (RC 18),Firefox 58.0,,2018-03-07 13:48:32,2018-03-07 14:02:00,"13m - 28,296s",ERROR
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/01_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-07 13:48:33,2018-03-07 13:48:54,"21,921s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:48:33,2018-03-07 13:48:43,"9,651s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:48:43,2018-03-07 13:48:43,"0,016s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:48:43,2018-03-07 13:48:43,"0,063s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:48:43,2018-03-07 13:48:46,"3,314s",PASSED
delay,Firefox 58.0,,2018-03-07 13:48:46,2018-03-07 13:48:51,"5,021s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-07 13:48:51,2018-03-07 13:48:51,"0,141s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-07 13:48:51,2018-03-07 13:48:54,"3,091s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:48:54,2018-03-07 13:48:54,"0,260s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/02_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-07 13:48:54,2018-03-07 13:49:05,"10,996s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:48:55,2018-03-07 13:48:58,"3,817s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:48:58,2018-03-07 13:48:58,"0,000s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:48:58,2018-03-07 13:48:58,"0,036s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:48:58,2018-03-07 13:49:00,"1,420s",PASSED
delay,Firefox 58.0,,2018-03-07 13:49:00,2018-03-07 13:49:05,"5,002s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-07 13:49:05,2018-03-07 13:49:05,"0,023s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-07 13:49:05,2018-03-07 13:49:05,"0,098s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:49:05,2018-03-07 13:49:05,"0,481s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/03_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-07 13:49:06,2018-03-07 13:49:17,"11,493s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:49:06,2018-03-07 13:49:08,"2,690s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:49:08,2018-03-07 13:49:08,"0,001s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:49:08,2018-03-07 13:49:08,"0,043s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:49:08,2018-03-07 13:49:11,"3,125s",PASSED
delay,Firefox 58.0,,2018-03-07 13:49:11,2018-03-07 13:49:16,"5,001s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-07 13:49:16,2018-03-07 13:49:17,"0,036s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-07 13:49:17,2018-03-07 13:49:17,"0,340s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:49:17,2018-03-07 13:49:17,"0,152s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/04_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-07 13:49:17,2018-03-07 13:49:27,"10,010s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:49:17,2018-03-07 13:49:20,"2,701s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:49:20,2018-03-07 13:49:20,"0,004s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:49:20,2018-03-07 13:49:20,"0,035s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:49:20,2018-03-07 13:49:22,"1,820s",PASSED
delay,Firefox 58.0,,2018-03-07 13:49:22,2018-03-07 13:49:27,"5,001s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-07 13:49:27,2018-03-07 13:49:27,"0,014s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-07 13:49:27,2018-03-07 13:49:27,"0,182s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:49:27,2018-03-07 13:49:27,"0,161s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/05_Testfall,Firefox 58.0,initial: Alle Filial-Akk. sind zugeklappt,2018-03-07 13:49:27,2018-03-07 13:49:37,"9,840s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:49:27,2018-03-07 13:49:30,"2,705s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:49:30,2018-03-07 13:49:30,"0,085s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:49:30,2018-03-07 13:49:30,"0,004s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:49:30,2018-03-07 13:49:31,"1,580s",PASSED
delay,Firefox 58.0,,2018-03-07 13:49:31,2018-03-07 13:49:36,"5,001s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-07 13:49:36,2018-03-07 13:49:37,"0,121s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:49:37,2018-03-07 13:49:37,"0,273s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/06_Testfall,Firefox 58.0,initial: Alle Filial-Akk. sind zugeklappt,2018-03-07 13:49:37,2018-03-07 13:49:47,"9,712s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:49:37,2018-03-07 13:49:40,"3,225s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:49:40,2018-03-07 13:49:40,"0,023s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:49:40,2018-03-07 13:49:40,"0,011s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:49:40,2018-03-07 13:49:41,"1,037s",PASSED
delay,Firefox 58.0,,2018-03-07 13:49:41,2018-03-07 13:49:46,"5,001s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-07 13:49:46,2018-03-07 13:49:46,"0,042s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:49:46,2018-03-07 13:49:47,"0,296s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/07_Testfall,Firefox 58.0,initial: Alle Filial-Akk. sind zugeklappt,2018-03-07 13:49:47,2018-03-07 13:49:57,"10,297s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:49:47,2018-03-07 13:49:50,"2,980s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:49:50,2018-03-07 13:49:50,"0,042s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:49:50,2018-03-07 13:49:50,"0,020s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:49:50,2018-03-07 13:49:52,"1,901s",PASSED
delay,Firefox 58.0,,2018-03-07 13:49:52,2018-03-07 13:49:57,"5,000s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-07 13:49:57,2018-03-07 13:49:57,"0,021s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:49:57,2018-03-07 13:49:57,"0,278s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/08_Testfall,Firefox 58.0,initial: Alle Filial-Akk. sind zugeklappt,2018-03-07 13:49:57,2018-03-07 13:50:07,"9,615s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:49:57,2018-03-07 13:50:00,"3,143s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:50:00,2018-03-07 13:50:00,"0,035s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:50:00,2018-03-07 13:50:00,"0,005s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:50:00,2018-03-07 13:50:01,"1,075s",PASSED
delay,Firefox 58.0,,2018-03-07 13:50:01,2018-03-07 13:50:06,"5,000s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-07 13:50:06,2018-03-07 13:50:06,"0,017s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:50:06,2018-03-07 13:50:07,"0,276s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/09_Testfall,Firefox 58.0,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-07 13:50:07,2018-03-07 13:50:17,"10,248s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:50:07,2018-03-07 13:50:10,"3,818s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:50:10,2018-03-07 13:50:10,"0,039s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:50:10,2018-03-07 13:50:10,"0,004s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:50:10,2018-03-07 13:50:11,"0,986s",PASSED
delay,Firefox 58.0,,2018-03-07 13:50:11,2018-03-07 13:50:16,"5,001s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-07 13:50:16,2018-03-07 13:50:16,"0,014s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:50:16,2018-03-07 13:50:17,"0,292s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/10_Testfall,Firefox 58.0,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-07 13:50:17,2018-03-07 13:50:27,"10,280s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:50:17,2018-03-07 13:50:21,"3,821s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:50:21,2018-03-07 13:50:21,"0,039s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:50:21,2018-03-07 13:50:21,"0,005s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:50:21,2018-03-07 13:50:22,"1,022s",PASSED
delay,Firefox 58.0,,2018-03-07 13:50:22,2018-03-07 13:50:27,"5,001s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-07 13:50:27,2018-03-07 13:50:27,"0,016s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:50:27,2018-03-07 13:50:27,"0,282s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/11_Testfall,Firefox 58.0,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-07 13:50:27,2018-03-07 13:50:37,"10,344s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:50:27,2018-03-07 13:50:30,"2,752s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:50:30,2018-03-07 13:50:30,"0,031s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:50:30,2018-03-07 13:50:30,"0,004s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:50:30,2018-03-07 13:50:32,"2,297s",PASSED
delay,Firefox 58.0,,2018-03-07 13:50:32,2018-03-07 13:50:37,"5,000s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-07 13:50:37,2018-03-07 13:50:37,"0,034s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:50:37,2018-03-07 13:50:37,"0,163s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/12_Testfall,Firefox 58.0,"\u00DCberpr\u00FCfen, ob Entfernung in km nicht angezeigt wind ",2018-03-07 13:50:37,2018-03-07 13:50:47,"9,880s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:50:37,2018-03-07 13:50:41,"3,157s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:50:41,2018-03-07 13:50:41,"0,029s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:50:41,2018-03-07 13:50:41,"0,003s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:50:41,2018-03-07 13:50:42,"1,365s",PASSED
delay,Firefox 58.0,,2018-03-07 13:50:42,2018-03-07 13:50:47,"5,001s",PASSED
verifyElementNotPresent,Firefox 58.0,,2018-03-07 13:50:47,2018-03-07 13:50:47,"0,013s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:50:47,2018-03-07 13:50:47,"0,250s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/13_Testfall,Firefox 58.0,Filial-count=54\nInitial sind alle Filialen einer Bank angezeigt\n(Akk. und Filial-Icons),2018-03-07 13:50:47,2018-03-07 13:50:57,"9,707s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:50:47,2018-03-07 13:50:51,"3,137s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:50:51,2018-03-07 13:50:51,"0,006s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:50:51,2018-03-07 13:50:51,"0,048s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:50:51,2018-03-07 13:50:52,"0,957s",PASSED
delay,Firefox 58.0,,2018-03-07 13:50:52,2018-03-07 13:50:57,"5,001s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-07 13:50:57,2018-03-07 13:50:57,"0,033s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",Firefox 58.0,,2018-03-07 13:50:57,2018-03-07 13:50:57,"0,023s",PASSED
Statement - filial_maps_count = wes1.size(),Firefox 58.0,,2018-03-07 13:50:57,2018-03-07 13:50:57,"0,000s",PASSED
Statement - filial_accordeon_count = wes2.size(),Firefox 58.0,,2018-03-07 13:50:57,2018-03-07 13:50:57,"0,000s",PASSED
Statement - filial_count = 61,Firefox 58.0,,2018-03-07 13:50:57,2018-03-07 13:50:57,"0,000s",PASSED
Statement - If (filial_maps_count != filial_count),Firefox 58.0,,2018-03-07 13:50:57,2018-03-07 13:50:57,"0,000s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:50:57,2018-03-07 13:50:57,"0,388s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/14_Testfall,Firefox 58.0,"Filial-count=37 (Dropdown: Ergebnis bei Auswahl eines Ortes z.B. Berlin)\nAlle Filialen, bei denen im Feld \""City\"" dieser Ort steht, sind angezeigt (Akk. und Filial-Icons)\n\n\n\n\n\n",2018-03-07 13:50:57,2018-03-07 13:51:21,"24,351s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:50:57,2018-03-07 13:51:00,"2,682s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:51:00,2018-03-07 13:51:00,"0,001s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:51:00,2018-03-07 13:51:00,"0,025s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:51:00,2018-03-07 13:51:01,"1,493s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:01,2018-03-07 13:51:06,"5,000s",PASSED
click,Firefox 58.0,,2018-03-07 13:51:06,2018-03-07 13:51:07,"0,286s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:07,2018-03-07 13:51:09,"2,000s",PASSED
mouseOver,Firefox 58.0,,2018-03-07 13:51:09,2018-03-07 13:51:09,"0,238s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:09,2018-03-07 13:51:11,"2,001s",PASSED
click,Firefox 58.0,,2018-03-07 13:51:11,2018-03-07 13:51:11,"0,241s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:11,2018-03-07 13:51:16,"5,001s",PASSED
"Statement - wes1 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-07 13:51:16,2018-03-07 13:51:16,"0,024s",PASSED
"Statement - wes2 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(loc_steet_filialsuche), 5)",Firefox 58.0,,2018-03-07 13:51:16,2018-03-07 13:51:16,"0,021s",PASSED
"Statement - wes3 = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filialsuche_loc_city), 5)",Firefox 58.0,,2018-03-07 13:51:16,2018-03-07 13:51:21,"5,048s",PASSED
Statement - filial_maps_count = wes1.size(),Firefox 58.0,,2018-03-07 13:51:21,2018-03-07 13:51:21,"0,000s",PASSED
Statement - filial_accordeon_count = wes2.size(),Firefox 58.0,,2018-03-07 13:51:21,2018-03-07 13:51:21,"0,000s",PASSED
Statement - filial_count = 37,Firefox 58.0,,2018-03-07 13:51:21,2018-03-07 13:51:21,"0,000s",PASSED
"Statement - city_name = ""Berlin""",Firefox 58.0,,2018-03-07 13:51:21,2018-03-07 13:51:21,"0,000s",PASSED
Statement - If (filial_maps_count != filial_count),Firefox 58.0,,2018-03-07 13:51:21,2018-03-07 13:51:21,"0,000s",PASSED
"Statement - For ([i = 0, i < wes3.size(), (i++)])",Firefox 58.0,,2018-03-07 13:51:21,2018-03-07 13:51:21,"0,000s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:51:21,2018-03-07 13:51:21,"0,180s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/15_Testfall,Firefox 58.0,"Sortierung nach entfernung beim Eingabe \""Berlin\""",2018-03-07 13:51:21,2018-03-07 13:51:35,"13,543s",ERROR
openBrowser,Firefox 58.0,,2018-03-07 13:51:21,2018-03-07 13:51:24,"2,963s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:51:24,2018-03-07 13:51:24,"0,028s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:51:24,2018-03-07 13:51:24,"0,003s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:51:24,2018-03-07 13:51:25,"1,032s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:25,2018-03-07 13:51:30,"5,000s",PASSED
setText,Firefox 58.0,,2018-03-07 13:51:30,2018-03-07 13:51:31,"0,101s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:31,2018-03-07 13:51:33,"2,001s",PASSED
submit,Firefox 58.0,,2018-03-07 13:51:33,2018-03-07 13:51:33,"0,051s",PASSED
delay,Firefox 58.0,,2018-03-07 13:51:33,2018-03-07 13:51:35,"2,000s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Filialsuche_loc_distance), 5)",Firefox 58.0,,2018-03-07 13:51:35,2018-03-07 13:51:35,"0,022s",PASSED
